participant,part2instr_presented,err_to_cor_0,err_to_cor_0.8,err_to_cor_1,err_to_uncor_0,err_to_uncor_0.8,err_to_uncor_1,err_to_pop_mean_0,err_to_pop_mean_0.8,err_to_pop_mean_1,err_to_sample_mean_0,err_to_sample_mean_0.8,err_to_sample_mean_1
800619,1,19.6851611924924,21.2707607784923,13.318101478495,18.7931975834544,24.5463766104116,19.6121668285067,19.2672916666667,24.5826041666667,19.336875,19.1632625516637,21.8643925656431,15.5463407037922
800686,1,19.9327909880772,17.1817370244147,17.0545631720428,20.2158848009786,21.1148851163986,23.613916516561,20.918125,21.3138541666667,24.0210416666667,20.0798678318697,18.2706544396147,19.065987845764
800700,-1,15.8143161448172,13.7943483313427,14.1306754032256,15.5616998429109,17.8126359070467,23.4877616971216,15.9285416666667,18.1610416666667,23.3022916666667,15.5209905637478,14.8117916618909,17.2630183530287
800706,1,26.9667045131728,28.6497233314116,28.7725638440861,27.2830665866638,27.9735215332133,33.8165547461397,26.7983333333333,28.0642708333333,33.5273958333333,27.0904334634425,27.3329629064892,30.4983229566703
800712,-1,13.7855852572681,15.2391384069318,16.6167405913976,14.2117180269736,11.5124075061622,12.4568799244902,13.49625,11.7251041666667,12.9114583333333,13.7323443142065,11.9198431012441,12.7320213753623
800715,-1,19.4476811446965,20.451941947966,16.6812768817205,18.7700654861034,20.0598315562747,17.7036652428537,19.3579166666667,20.3975,17.9976041666667,18.9608989063591,18.5711520249823,15.3296577751204
800719,1,21.2701138709,20.2184784942596,19.7230309139786,21.49265864557,23.7553788057935,25.6785537336701,21.695,23.8338541666667,25.619375,21.3277827029566,21.2037898561043,21.3612751888223
800721,1,16.2358145499102,12.9209101091788,10.5283635752686,15.1344100968468,14.929487188023,16.0195973555039,15.911875,15.7590625,15.83875,15.6046850376451,10.9775536687245,11.5995226005465
800729,-1,28.8250132208874,35.9041218686285,23.3635987903228,28.507585427505,35.3930518112393,27.8095991286182,28.6077083333333,35.1053125,28.2560416666667,28.4892395268187,34.5092899231887,24.3664860951148
800734,1,14.7534843869186,20.5243242284382,13.3283501344089,15.3148045576135,23.9060317471144,19.3163486717735,14.9791666666667,24.4314583333333,19.1573958333333,15.0396282084002,21.5000944096274,14.6874499030263
800746,-1,16.4059723618996,22.6169089721719,18.1907896505376,16.8721397391101,21.1138643161571,20.9923438661651,16.690625,20.8069791666667,21.1469791666667,16.4883645355062,21.1986314488616,17.0824068606661
800757,1,15.146520661927,17.0213663603172,18.0944724462363,15.5566519610789,19.1252197667611,23.2275040636786,15.25125,19.635,23.5384375,15.3031306350527,17.0110522433973,18.5828611685967
800764,-1,37.069985192187,35.8833939932159,18.9553897849461,35.6340372025234,38.3817352474469,27.6947485805797,36.661875,38.3898958333333,28.1822916666667,36.2747415205529,36.2221609637562,22.096091599925
800799,1,13.172130670722,24.9169426376619,16.9516935483866,12.975180752535,24.5270926354525,21.4959191241446,13.7585416666667,25.1367708333333,22.2890625,12.9769327414978,23.4329962598051,17.8261588847137
800831,-1,12.0870245388877,16.3805169426384,14.9333467741931,12.1342231488285,17.6257494492926,20.4772598594006,12.0179166666667,17.3686458333333,21.3432291666667,11.9256751882553,15.880859510963,16.4297823048188
800986,-1,14.8183379353193,15.01925661853,28.6516028225808,14.9752883421808,17.3654011430764,30.493009613602,15.076875,17.4579166666667,30.4932291666667,14.7771519981332,14.121632241167,28.5440546341989
801154,-1,19.2378964248908,16.5490248711362,18.567624327957,19.5016236990606,18.2469397713,18.2222568914841,19.0529166666667,18.6528125,18.778125,19.3117672494303,15.7985045591369,16.2676019638934
801528,1,20.1769329834118,21.5906284898348,12.0854099462367,20.5700453012047,26.8883593135709,22.0338457070562,20.6935416666667,27.1784375,21.9348958333333,20.3314069687542,22.6623205400487,15.5018249922851
801565,-1,20.6656019191854,17.8838053960941,14.2804637096775,19.9614727110031,20.7980107219269,23.9520559893007,20.2764583333333,20.8129166666667,24.7184375,20.1777151548086,18.3779068025881,18.139161382528
801973,-1,31.1533617053094,20.0472333024579,19.0724059139788,30.45691321176,19.2179465838892,23.2228792256899,30.615,19.3164583333333,23.3877083333333,30.6365914938841,17.9908259809947,19.4561790642859
802029,1,18.4847196491035,15.3380521192904,19.2612264784946,19.2208941250821,16.6616242437328,24.9928853704302,18.9014583333333,17.1547916666667,25.2305208333333,18.8573880995126,14.7141580398182,20.3959555974843
803867,-1,13.8911739434565,16.2505634849713,13.9497647849464,13.5926601086127,18.0722560010162,17.8798920060481,12.9116666666667,18.2046875,18.0107291666667,13.7246057394805,15.8878579179854,14.5541213903208
805879,-1,15.5280375246908,11.3729851688816,14.1328561827957,15.0883775996851,14.3561200701116,20.8097322299731,15.6472916666667,15.0428125,21.0765625,15.2172057259772,11.7234975592012,15.3442431995046
