participant,part2instr_presented,target_cor,variable,abs_err,variablef
800706,0,1,err_to_cor,24.0583635752688,corr. part
800706,0,0.8,err_to_cor,30.2155737266169,corr. part
800706,0,0,err_to_cor,32.4496979587226,corr. part
800706,1,1,err_to_cor,28.7725638440861,corr. part
800706,1,0.8,err_to_cor,28.6497233314116,corr. part
800706,1,0,err_to_cor,26.9667045131728,corr. part
800712,0,0,err_to_cor,11.8716821727254,corr. part
800712,0,0.8,err_to_cor,14.3845903307576,corr. part
800712,0,1,err_to_cor,14.7216162634406,corr. part
800712,-1,0.8,err_to_cor,15.2391384069318,corr. part
800712,-1,1,err_to_cor,16.6167405913976,corr. part
800712,-1,0,err_to_cor,13.7855852572681,corr. part
800715,0,1,err_to_cor,14.8304704301074,corr. part
800715,0,0.8,err_to_cor,21.4251170304527,corr. part
800715,0,0,err_to_cor,17.3078577358224,corr. part
800715,-1,1,err_to_cor,16.6812768817205,corr. part
800715,-1,0.8,err_to_cor,20.451941947966,corr. part
800715,-1,0,err_to_cor,19.4476811446965,corr. part
800719,0,0,err_to_cor,28.9614469767778,corr. part
800719,0,1,err_to_cor,18.0874999999997,corr. part
800719,0,0.8,err_to_cor,22.1409073103998,corr. part
800719,1,1,err_to_cor,19.7230309139786,corr. part
800719,1,0,err_to_cor,21.2701138709,corr. part
800719,1,0.8,err_to_cor,20.2184784942596,corr. part
800721,0,1,err_to_cor,8.48362231182831,corr. part
800721,0,0.8,err_to_cor,10.7800306888356,corr. part
800721,0,0,err_to_cor,11.9879073472131,corr. part
800721,1,1,err_to_cor,10.5283635752686,corr. part
800721,1,0.8,err_to_cor,12.9209101091788,corr. part
800721,1,0,err_to_cor,16.2358145499102,corr. part
800729,0,0,err_to_cor,20.1071851764723,corr. part
800729,0,1,err_to_cor,23.4663004032255,corr. part
800729,0,0.8,err_to_cor,31.2440682390008,corr. part
800729,-1,0,err_to_cor,28.8250132208874,corr. part
800729,-1,0.8,err_to_cor,35.9041218686285,corr. part
800729,-1,1,err_to_cor,23.3635987903228,corr. part
800734,0,0,err_to_cor,19.9833264448669,corr. part
800734,0,0.8,err_to_cor,33.2487025518192,corr. part
800734,0,1,err_to_cor,14.9728830645159,corr. part
800734,1,0.8,err_to_cor,20.5243242284382,corr. part
800734,1,1,err_to_cor,13.3283501344089,corr. part
800734,1,0,err_to_cor,14.7534843869186,corr. part
800746,0,0,err_to_cor,16.0185908552558,corr. part
800746,0,1,err_to_cor,19.7084240591401,corr. part
800746,0,0.8,err_to_cor,18.5077131677224,corr. part
800746,-1,1,err_to_cor,18.1907896505376,corr. part
800746,-1,0.8,err_to_cor,22.6169089721719,corr. part
800746,-1,0,err_to_cor,16.4059723618996,corr. part
800757,0,0.8,err_to_cor,19.9102947921911,corr. part
800757,0,1,err_to_cor,17.5544254032257,corr. part
800757,0,0,err_to_cor,18.4927634332281,corr. part
800757,1,1,err_to_cor,18.0944724462363,corr. part
800757,1,0.8,err_to_cor,17.0213663603172,corr. part
800757,1,0,err_to_cor,15.146520661927,corr. part
800764,0,1,err_to_cor,22.4405712365597,corr. part
800764,0,0.8,err_to_cor,21.0293618744363,corr. part
800764,0,0,err_to_cor,25.1239364207352,corr. part
800764,-1,1,err_to_cor,18.9553897849461,corr. part
800764,-1,0.8,err_to_cor,35.8833939932159,corr. part
800764,-1,0,err_to_cor,37.069985192187,corr. part
800799,0,1,err_to_cor,14.5264516129027,corr. part
800799,0,0,err_to_cor,14.9176030543609,corr. part
800799,0,0.8,err_to_cor,12.6539256642373,corr. part
800799,1,0.8,err_to_cor,24.9169426376619,corr. part
800799,1,0,err_to_cor,13.172130670722,corr. part
800799,1,1,err_to_cor,16.9516935483866,corr. part
800831,0,0,err_to_cor,24.3259414476529,corr. part
800831,0,0.8,err_to_cor,21.2480184606454,corr. part
800831,0,1,err_to_cor,13.0964818548387,corr. part
800831,-1,1,err_to_cor,14.9333467741931,corr. part
800831,-1,0.8,err_to_cor,16.3805169426384,corr. part
800831,-1,0,err_to_cor,12.0870245388877,corr. part
800986,0,0,err_to_cor,13.9814971037061,corr. part
800986,0,0.8,err_to_cor,21.8441026337329,corr. part
