participant,part2instr_presented,target_cor,err_to_cor,err_to_uncor,err_to_pop_mean,err_to_sample_mean,bias_to_corr
800619,0,0,23.3112518217479,22.1744575522115,22.5041666666667,22.7060440904817,-1.13679426953641
800619,0,0.8,19.025833324378,22.4762667985683,22.1373958333333,20.0568250370494,3.45043347419032
800619,0,1,16.1727184139785,23.6050342169616,23.9677083333333,18.6465039755791,7.43231580298307
800619,1,0,19.6851611924924,18.7931975834544,19.2672916666667,19.1632625516637,-0.891963609037941
800619,1,0.8,21.2707607784923,24.5463766104116,24.5826041666667,21.8643925656431,3.27561583191928
800619,1,1,13.318101478495,19.6121668285067,19.336875,15.5463407037922,6.29406535001171
800686,0,0,18.1053345106157,17.8462140716373,17.7675,17.7789061249499,-0.259120438978421
800686,0,0.8,25.4624178898289,25.0627328861182,25.7482291666667,23.7780621809961,-0.399685003710687
800686,0,1,16.1109576612899,19.7839104195642,19.46,16.1711270345216,3.67295275827431
800686,1,0,19.9327909880772,20.2158848009786,20.918125,20.0798678318697,0.283093812901406
800686,1,0.8,17.1817370244147,21.1148851163986,21.3138541666667,18.2706544396147,3.93314809198395
800686,1,1,17.0545631720428,23.613916516561,24.0210416666667,19.065987845764,6.55935334451822
800700,-1,0,15.8143161448172,15.5616998429109,15.9285416666667,15.5209905637478,-0.252616301906262
800700,-1,0.8,13.7943483313427,17.8126359070467,18.1610416666667,14.8117916618909,4.01828757570397
800700,-1,1,14.1306754032256,23.4877616971216,23.3022916666667,17.2630183530287,9.35708629389603
800700,0,0,20.9597026567897,20.0832200719793,20.4035416666667,20.3537562203798,-0.876482584810379
800700,0,0.8,15.8424458447868,18.9781243556777,19.5755208333333,15.6324689182699,3.13567851089093
800700,0,1,15.3853763440865,19.3133724958398,19.7016666666667,15.8403478558486,3.92799615175329
800706,0,0,32.4496979587226,34.080527911903,33.2541666666667,33.2930604497369,1.63082995318034
800706,0,0.8,30.2155737266169,28.8043312815745,29.5417708333333,28.6270679296286,-1.41124244504246
800706,0,1,24.0583635752688,24.8966613750661,24.71625,23.2666064544282,0.838297799797378
800706,1,0,26.9667045131728,27.2830665866638,26.7983333333333,27.0904334634425,0.316362073490993
800706,1,0.8,28.6497233314116,27.9735215332133,28.0642708333333,27.3329629064892,-0.676201798198232
800706,1,1,28.7725638440861,33.8165547461397,33.5273958333333,30.4983229566703,5.04399090205363
800712,-1,0,13.7855852572681,14.2117180269736,13.49625,13.7323443142065,0.426132769705459
800712,-1,0.8,15.2391384069318,11.5124075061622,11.7251041666667,11.9198431012441,-3.72673090076965
800712,-1,1,16.6167405913976,12.4568799244902,12.9114583333333,12.7320213753623,-4.15986066690739
800712,0,0,11.8716821727254,11.881338656829,11.4310416666667,11.6704209855183,0.00965648410368836
800712,0,0.8,14.3845903307576,12.0182673382971,11.9160416666667,11.0790537342834,-2.36632299246047
800712,0,1,14.7216162634406,11.0407256167422,10.5838541666667,9.33595134986812,-3.68089064669841
800715,-1,0,19.4476811446965,18.7700654861034,19.3579166666667,18.9608989063591,-0.677615658593187
800715,-1,0.8,20.451941947966,20.0598315562747,20.3975,18.5711520249823,-0.392110391691304
800715,-1,1,16.6812768817205,17.7036652428537,17.9976041666667,15.3296577751204,1.02238836113324
800715,0,0,17.3078577358224,17.4452501581112,17.2083333333333,17.3803820655232,0.13739242228889
800715,0,0.8,21.4251170304527,23.6687707074732,24.0523958333333,20.9322128014739,2.24365367702055
800715,0,1,14.8304704301074,20.5430086958111,20.850625,16.6544510812344,5.7125382657037
800719,0,0,28.9614469767778,28.9323882774163,28.8225,28.9486665303349,-0.0290586993614674
800719,0,0.8,22.1409073103998,22.7387150094936,22.7810416666667,21.5193182143436,0.59780769909381
800719,0,1,18.0874999999997,26.2275110527676,26.8772916666667,20.8493300696664,8.14001105276793
800719,1,0,21.2701138709,21.49265864557,21.695,21.3277827029566,0.222544774669966
800719,1,0.8,20.2184784942596,23.7553788057935,23.8338541666667,21.2037898561043,3.53690031153389
800719,1,1,19.7230309139786,25.6785537336701,25.619375,21.3612751888223,5.95552281969155
800721,0,0,11.9879073472131,11.4838881497015,11.8110416666667,11.6119583170261,-0.50401919751168
800721,0,0.8,10.7800306888356,13.7416823978153,14.1238541666667,10.4108611378759,2.96165170897974
800721,0,1,8.48362231182831,14.774884601233,15.5927083333333,9.71226894662083,6.29126228940465
800721,1,0,16.2358145499102,15.1344100968468,15.911875,15.6046850376451,-1.10140445306343
800721,1,0.8,12.9209101091788,14.929487188023,15.7590625,10.9775536687245,2.00857707884424
800721,1,1,10.5283635752686,16.0195973555039,15.83875,11.5995226005465,5.49123378023524
800729,-1,0,28.8250132208874,28.507585427505,28.6077083333333,28.4892395268187,-0.317427793382368
800729,-1,0.8,35.9041218686285,35.3930518112393,35.1053125,34.5092899231887,-0.511070057389127
800729,-1,1,23.3635987903228,27.8095991286182,28.2560416666667,24.3664860951148,4.44600033829541
800729,0,0,20.1071851764723,21.2143020471165,20.2725,20.5156662979785,1.10711687064411
800729,0,0.8,31.2440682390008,30.205219225808,30.6988541666667,29.1240578450851,-1.03884901319281
800729,0,1,23.4663004032255,28.3069039986526,28.5315625,24.5593766862439,4.84060359542711
800734,0,0,19.9833264448669,20.9725372394738,20.845625,20.4198794972067,0.989210794606898
800734,0,0.8,33.2487025518192,32.5331934560933,32.74125,31.7359442920153,-0.715509095725949
800734,0,1,14.9728830645159,16.1187712832804,16.8477083333333,13.9183216636442,1.14588821876452
800734,1,0,14.7534843869186,15.3148045576135,14.9791666666667,15.0396282084002,0.561320170694916
