participant,block,trial_number,t1_ori,t2_ori,t3_ori,target_position,cue_type,real_target_position,start_ori,resp_ori,error,abs_err,target_ori,diff_to_next,diff_to_prev
34,1,60,-84.37,8.67,39.32,1,valid,1,0,15,-80.63,80.63,-84.37,86.96,
34,1,61,-11.35,-61.44,-52.69,1,valid,1,112,-13,-1.64999999999998,1.64999999999998,-11.35,50.09,
34,1,62,-55.99,10.94,-39.84,2,invalid,3,5,-34,5.84000000000003,5.84000000000003,-39.84,,-50.78
34,1,63,-15.96,-42.58,70.2,3,valid,3,0,-65,44.8,44.8,70.2,,-67.22
34,1,64,-17.89,71.97,-47.64,2,neutral,1,80,59,76.89,76.89,-17.89,-89.86,
34,1,65,-8.48,66.43,47.18,1,neutral,1,31,-1,7.48000000000002,7.48000000000002,-8.48,-74.91,
34,1,66,-45.18,48.41,-21.09,2,valid,2,76,-31,-79.41,79.41,48.41,69.5,-86.41
34,1,67,-58.43,55.16,43.5,1,valid,1,111,38,-83.57,83.57,-58.43,66.41,
34,1,68,16.1,55.49,-76.33,2,neutral,3,113,16,-87.67,87.67,-76.33,,48.18
34,1,69,3.6,73.24,86.96,1,valid,1,77,-87,89.4,89.4,3.6,-69.64,
34,1,70,20.87,29.17,18.88,3,invalid,1,29,15,-5.87000000000001,5.87000000000001,20.87,-8.29999999999999,
34,1,71,-34.2,44.48,75.99,2,valid,2,150,-26,-70.48,70.48,44.48,-31.51,78.68
34,1,72,54.03,39.73,5.5,1,valid,1,138,37,-17.03,17.03,54.03,14.3,
34,1,73,89.03,-34.93,-30.75,3,valid,3,123,29,59.75,59.75,-30.75,,4.17999999999999
34,1,74,-75.2,37,23.44,3,invalid,1,120,27,-77.8,77.8,-75.2,67.8,
34,1,75,10.12,67.2,77.1,2,neutral,1,120,14,3.88,3.88,10.12,-57.08,
34,1,76,-57.89,-25.92,-4.41,1,valid,1,13,5,62.89,62.89,-57.89,-31.97,
34,1,77,-45.34,65.38,5,3,valid,3,33,-46,-51,51,5,,-60.38
34,1,78,11.57,-21.7,81.56,2,valid,2,142,68,89.7,89.7,-21.7,76.74,-33.27
34,1,79,52.53,47.17,-89.96,3,neutral,2,81,61,13.83,13.83,47.17,-42.87,-5.36
34,1,80,19.53,34.21,61.79,1,invalid,2,136,50,15.79,15.79,34.21,-27.58,14.68
34,1,81,-56.06,-27.27,-71.88,3,valid,3,177,-51,20.88,20.88,-71.88,,-44.61
34,1,82,-72.76,-26.39,54.49,2,valid,2,49,-60,-33.61,33.61,-26.39,-80.88,46.37
34,1,83,-31.31,28.91,-28.63,2,valid,2,155,-18,-46.91,46.91,28.91,57.54,60.22
34,1,84,74.54,43.85,36.53,1,valid,1,29,52,-22.54,22.54,74.54,30.69,
34,1,85,-8.8,24.23,-40.64,2,invalid,1,96,-29,-20.2,20.2,-8.8,-33.03,
34,1,86,-20.89,-60.36,-36.88,2,neutral,1,4,-28,-7.11000000000001,7.11000000000001,-20.89,39.47,
34,1,87,78.72,-30.92,34.75,1,valid,1,90,-28,73.28,73.28,78.72,-70.36,
34,1,88,-22.82,11.72,-6.45,1,valid,1,52,-1,21.82,21.82,-22.82,-34.54,
34,1,89,28.61,-69.44,-40.41,3,valid,3,15,-44,-3.59000000000003,3.59000000000003,-40.41,,29.03
34,1,90,-66.82,-55.25,-56.98,2,valid,2,121,-49,6.25,6.25,-55.25,1.72999999999999,11.57
34,1,91,42.12,13.2,13.82,3,neutral,2,33,6,-7.19999999999999,7.19999999999999,13.2,-0.62,-28.92
34,1,92,46.1,-38.66,4.34,1,valid,1,173,41,-5.10000000000002,5.10000000000002,46.1,84.76,
34,1,93,56.71,-8.65,-77.63,3,valid,3,85,-78,-0.370000000000005,0.370000000000005,-77.63,,-68.98
34,1,94,80.85,6.71,12.51,3,valid,3,85,16,3.49000000000001,3.49000000000001,12.51,,5.79999999999999
34,1,95,-13.46,55.46,58.68,3,neutral,1,85,-10,3.46000000000004,3.46000000000004,-13.46,-68.92,
34,1,96,29.29,83,-88.38,3,neutral,2,69,77,-6,6,83,-8.61999999999997,53.71
34,1,97,15.74,-23.92,1.57,2,valid,2,21,-8,15.92,15.92,-23.92,-25.49,-39.66
34,1,98,-70.95,-89.33,-62.69,3,valid,3,156,-70,-7.31,7.31,-62.69,,26.64
34,1,99,-24.98,45.7,-31.83,2,valid,2,26,43,-2.69999999999999,2.69999999999999,45.7,77.53,70.68
34,1,100,12.07,72.62,-41.38,2,valid,2,107,60,-12.62,12.62,72.62,-66,60.55
34,1,101,-66.58,-67.43,-0.69,1,invalid,2,53,-73,-5.56999999999999,5.56999999999999,-67.43,-66.74,-0.850000000000023
34,1,102,-40.8,-23.06,70.5,2,invalid,1,113,-53,-12.2,12.2,-40.8,-17.74,
34,1,103,-55.2,81.44,-24.23,3,valid,3,44,-18,6.23000000000002,6.23000000000002,-24.23,,74.33
34,1,104,64.86,84.83,78.49,1,neutral,1,97,67,2.13999999999999,2.13999999999999,64.86,-19.97,
34,1,105,-75.79,-29.55,-69.3,1,valid,1,176,-97,-21.21,21.21,-75.79,-46.24,
34,1,106,-36.3,53.33,13.69,3,invalid,1,124,71,-72.7,72.7,-36.3,-89.63,
34,1,107,24.58,-9.31,89.09,1,invalid,3,127,88,-1.09000000000003,1.09000000000003,89.09,,-81.6
34,1,108,23.73,27.89,-57.96,1,valid,1,78,16,-7.73000000000002,7.73000000000002,23.73,-4.16,
34,1,109,-26.27,-89.3,-24.72,2,invalid,1,132,-14,12.27,12.27,-26.27,63.03,
34,1,110,-21.54,58.25,-14.33,3,invalid,2,175,-8,-66.25,66.25,58.25,72.58,79.79
34,1,111,68.52,-65.22,-68.89,3,valid,3,97,-75,-6.11000000000001,6.11000000000001,-68.89,,-3.67
34,1,112,70.78,81.11,-60.91,1,valid,1,94,-97,12.22,12.22,70.78,-10.33,
34,1,113,-63.5,80.06,2.46,1,neutral,1,155,7,70.5,70.5,-63.5,36.44,
34,1,114,-81.19,50.61,-44.95,2,invalid,1,129,42,-56.81,56.81,-81.19,48.2,
34,1,115,-38.01,-83.57,-3.78,3,valid,3,150,-4,-0.220000000000027,0.220000000000027,-3.78,,79.79
34,1,116,-33.97,4.75,-6.12,1,invalid,2,18,-29,-33.75,33.75,4.75,10.87,38.72
34,1,117,62.77,-85.25,-69.67,1,valid,1,49,74,11.23,11.23,62.77,-31.98,
34,1,118,-62.3,33.35,-26.72,1,neutral,3,5,-15,11.72,11.72,-26.72,,-60.07
34,1,119,-14.51,-58.36,-46.79,2,neutral,1,152,8,22.51,22.51,-14.51,43.85,
34,1,120,-36.64,65.58,-8.76,3,valid,3,63,-7,1.75999999999999,1.75999999999999,-8.76,,-74.34
34,1,121,39.66,22.27,-39.44,3,invalid,2,146,26,3.73000000000002,3.73000000000002,22.27,61.71,-17.39
34,1,122,-34.74,8.31,12.74,1,valid,1,155,-24,10.74,10.74,-34.74,-43.05,
34,1,123,36.09,-4.8,-2.01,2,invalid,1,178,11,-25.09,25.09,36.09,40.89,
34,1,124,57.28,88.17,62.4,3,valid,3,134,55,-7.39999999999998,7.39999999999998,62.4,,-25.77
34,1,125,-69.03,-46.57,24.89,2,valid,2,129,-41,5.56999999999999,5.56999999999999,-46.57,-71.46,22.46
34,1,126,9.76,60.79,85.88,2,valid,2,165,52,-8.78999999999996,8.78999999999996,60.79,-25.09,51.03
34,1,127,-66.2,-27.21,-22.12,1,neutral,1,37,-70,-3.80000000000001,3.80000000000001,-66.2,-38.99,
34,1,128,28.96,47.98,65.53,3,valid,3,110,63,-2.52999999999997,2.52999999999997,65.53,,17.55
34,1,129,83.52,-67.78,20.14,3,valid,3,175,19,-1.13999999999999,1.13999999999999,20.14,,87.92
34,1,130,76.66,12.17,46.1,2,neutral,1,124,83,6.34000000000003,6.34000000000003,76.66,64.49,
34,1,131,-87.31,57.66,49.07,3,valid,3,137,67,17.93,17.93,49.07,,-8.58999999999998
34,1,132,12.55,73.61,78.27,2,valid,2,170,71,-2.61000000000001,2.61000000000001,73.61,-4.65999999999999,61.06
34,1,133,13.21,-45.76,37.99,1,valid,1,25,49,35.79,35.79,13.21,58.97,
34,1,134,63.62,-52.8,-84.42,2,valid,2,50,-45,7.80000000000001,7.80000000000001,-52.8,31.62,63.58
34,1,135,-35.62,-1.3,-8.89,2,valid,2,4,-6,-4.69999999999999,4.69999999999999,-1.3,7.59,34.32
34,1,136,-19.79,-59.34,-27.48,1,invalid,2,123,-26,33.34,33.34,-59.34,-31.86,-39.55
34,1,137,48.8,58.8,11.81,1,invalid,2,4,28,-30.8,30.8,58.8,46.99,10
34,1,138,-35.17,23.53,-3.51,3,invalid,1,151,-16,19.17,19.17,-35.17,-58.7,
34,1,139,63.14,81.19,58.77,2,valid,2,173,64,-17.19,17.19,81.19,22.42,18.05
34,1,140,29.41,59.77,-32.65,1,valid,1,91,45,15.59,15.59,29.41,-30.36,
34,1,141,-23,-62.12,-86.35,1,neutral,2,5,-27,35.12,35.12,-62.12,24.23,-39.12
34,1,142,74.28,-35.56,-74.26,1,neutral,3,1,-52,22.26,22.26,-74.26,,-38.7
34,1,143,-59.26,86.35,60.01,1,invalid,3,78,65,4.99000000000001,4.99000000000001,60.01,,-26.34
34,1,144,54.18,21.18,-31.81,1,valid,1,145,67,12.82,12.82,54.18,33,
34,1,145,-0.56,71.15,-42.71,1,invalid,2,21,84,12.85,12.85,71.15,-66.14,71.71
34,1,146,-4.75,-62.84,33.96,3,valid,3,168,54,20.04,20.04,33.96,,-83.2
34,1,147,17.41,83.33,-44.47,1,neutral,3,13,75,-60.53,60.53,-44.47,,52.2
34,1,148,-43.5,34.34,69.54,2,valid,2,161,43,8.65999999999997,8.65999999999997,34.34,-35.2,77.84
