participant,vviq,block,trial_number,similarity_bin,target_color,distr_color,td_dist,left_color,right_color,target_noise,distr_noise,target_x,distr_x,cue_n,cue_pos,cued_color,resp_color,error,abs_err,noise,be_c,abs_be_c,bias_to_distr_raw,bias_to_distr_corr
S33,48,2,30,45,41.99,-1.73999999999999,-43.73,401.99,358.26,low,low,300,-300,2,-300,401.99,47,5.00999999999999,5.00999999999999,low - low,4.85643058463016,4.85643058463016,-5.00999999999999,-4.85643058463016
S33,48,2,31,135,21.1599999999999,-113.59,-134.75,381.16,246.41,low,low,300,-300,2,-300,381.16,355,-26.16,26.16,low - low,-26.804117974673,26.804117974673,26.16,26.804117974673
S33,48,2,32,20,122.21,143.9,21.69,143.9,122.21,low,low,-300,300,2,300,122.21,96,-26.21,26.21,low - low,-24.9754232803459,24.9754232803459,-26.21,-24.9754232803459
S33,48,2,33,135,-82.1,52.62,134.72,-82.1,52.62,low,high,300,-300,2,-300,-82.1,312,34.1,34.1,low - high,33.455882025327,33.455882025327,34.1,33.455882025327
S33,48,2,34,45,144.54,-169.31,46.15,144.54,190.69,high,high,300,-300,2,-300,144.54,140,-4.53999999999996,4.53999999999996,high - high,-4.69356941536978,4.69356941536978,-4.53999999999996,-4.69356941536978
S33,48,2,35,20,158.74,177.27,18.53,158.74,177.27,high,high,300,-300,2,-300,158.74,151,-7.74000000000001,7.74000000000001,high - high,-6.50542328034587,6.50542328034587,-7.74000000000001,-6.50542328034587
S33,48,2,36,135,67.16,-157.76,135.08,202.24,67.16,low,low,-300,300,2,300,67.16,75,7.84000000000003,7.84000000000003,low - low,7.195882025327,7.195882025327,7.84000000000003,7.195882025327
S33,48,2,37,20,140.85,158.86,18.01,140.85,158.86,high,low,300,-300,2,-300,140.85,109,-31.85,31.85,high - low,-30.6154232803459,30.6154232803459,-31.85,-30.6154232803459
S33,48,2,38,20,74.48,57.39,-17.09,74.48,57.39,low,high,300,-300,2,-300,74.48,66,-8.48000000000002,8.48000000000002,low - high,-7.2454232803459,7.2454232803459,8.48000000000002,7.2454232803459
S33,48,2,39,20,-138.41,-160.76,-22.35,199.24,221.59,high,low,-300,300,2,300,221.59,185,-36.59,36.59,high - low,-35.3554232803459,35.3554232803459,36.59,35.3554232803459
S33,48,2,40,135,-176.8,-42.19,134.61,183.2,317.81,high,low,300,-300,2,-300,183.2,201,17.8,17.8,high - low,17.1558820253269,17.1558820253269,17.8,17.1558820253269
S33,48,2,41,135,40.0799999999999,-96.8000000000001,-136.88,263.2,400.08,high,low,-300,300,2,300,400.08,53,12.92,12.92,high - low,12.275882025327,12.275882025327,-12.92,-12.275882025327
S33,48,2,42,45,-151.51,163.74,-44.75,208.49,163.74,low,low,300,-300,2,-300,208.49,227,18.51,18.51,low - low,18.3564305846302,18.3564305846302,-18.51,-18.3564305846302
S33,48,2,43,45,-109.33,-64.74,44.59,250.67,295.26,low,low,300,-300,2,-300,250.67,235,-15.67,15.67,low - low,-15.8235694153698,15.8235694153698,-15.67,-15.8235694153698
S33,48,2,44,135,17.31,-118.14,-135.45,377.31,241.86,high,high,300,-300,2,-300,377.31,2,-15.31,15.31,high - high,-15.954117974673,15.954117974673,15.31,15.954117974673
S33,48,2,45,20,-115.49,-95.83,19.6599999999999,264.17,244.51,high,high,-300,300,2,300,244.51,224,-20.51,20.51,high - high,-19.2754232803459,19.2754232803459,-20.51,-19.2754232803459
S33,48,2,46,135,10.33,-122.93,-133.26,237.07,370.33,low,high,-300,300,2,300,370.33,34,23.67,23.67,low - high,23.025882025327,23.025882025327,-23.67,-23.025882025327
S33,48,2,47,20,-97.23,-74.5600000000001,22.67,285.44,262.77,low,high,-300,300,2,300,262.77,-92,5.23000000000002,5.23000000000002,low - high,6.46457671965414,6.46457671965414,5.23000000000002,6.46457671965414
S33,48,2,48,45,-46.63,-91.4700000000001,-44.8400000000001,313.37,268.53,low,high,300,-300,2,-300,313.37,37,83.63,83.63,low - high,83.4764305846302,83.4764305846302,-83.63,-83.4764305846302
S33,48,2,49,135,-12.51,-144.72,-132.21,347.49,215.28,low,low,300,-300,2,-300,347.49,0,12.51,12.51,low - low,11.8658820253269,11.8658820253269,-12.51,-11.8658820253269
S33,48,2,50,45,-73.22,-28.89,44.33,286.78,331.11,low,high,300,-300,2,-300,286.78,307,20.22,20.22,low - high,20.0664305846302,20.0664305846302,20.22,20.0664305846302
S33,48,2,51,135,-98.94,35.49,134.43,-98.94,35.49,low,low,300,-300,2,-300,-98.94,-135,-36.06,36.06,low - low,-36.704117974673,36.704117974673,-36.06,-36.704117974673
S33,48,2,52,20,-37.09,-58.2599999999999,-21.17,301.74,322.91,low,high,-300,300,2,300,322.91,-15,22.09,22.09,low - high,23.3245767196541,23.3245767196541,-22.09,-23.3245767196541
S33,48,2,53,20,-115.66,-95.02,20.64,264.98,244.34,high,low,-300,300,2,300,244.34,248,3.65999999999997,3.65999999999997,high - low,4.89457671965411,4.89457671965411,3.65999999999997,4.89457671965411
S33,48,2,54,135,-51.5200000000001,176.41,-132.07,308.48,176.41,high,low,300,-300,2,-300,308.48,339,30.52,30.52,high - low,29.8758820253269,29.8758820253269,-30.52,-29.8758820253269
S33,48,2,55,135,-3.90000000000001,131.95,135.85,-3.90000000000001,131.95,low,low,300,-300,2,-300,-3.90000000000001,347,-9.10000000000002,9.10000000000002,low - low,-9.74411797467307,9.74411797467307,-9.10000000000002,-9.74411797467307
S33,48,2,56,20,-65.23,-43.53,21.7,294.77,316.47,low,low,300,-300,2,-300,294.77,-32,33.23,33.23,low - low,34.4645767196541,34.4645767196541,33.23,34.4645767196541
S33,48,2,57,45,139.89,97.38,-42.51,139.89,97.38,low,high,300,-300,2,-300,139.89,151,11.11,11.11,low - high,10.9564305846302,10.9564305846302,-11.11,-10.9564305846302
S33,48,2,58,45,46.41,92.38,45.97,46.41,92.38,low,low,300,-300,2,-300,46.41,72,25.59,25.59,low - low,25.4364305846302,25.4364305846302,25.59,25.4364305846302
S33,48,2,59,45,136.8,179.07,42.27,136.8,179.07,high,low,300,-300,2,-300,136.8,156,19.2,19.2,high - low,19.0464305846302,19.0464305846302,19.2,19.0464305846302
S33,48,2,60,135,36.13,172.27,136.14,36.13,172.27,low,high,300,-300,2,-300,36.13,52,15.87,15.87,low - high,15.225882025327,15.225882025327,15.87,15.225882025327
S33,48,2,61,20,-67.61,-87.67,-20.06,292.39,272.33,low,high,300,-300,2,-300,292.39,319,26.61,26.61,low - high,27.8445767196542,27.8445767196542,-26.61,-27.8445767196542
S33,48,2,62,20,143.46,124.95,-18.51,124.95,143.46,low,high,-300,300,2,300,143.46,134,-9.46000000000004,9.46000000000004,low - high,-8.22542328034591,8.22542328034591,9.46000000000004,8.22542328034591
S33,48,2,63,135,89.28,-45.1200000000001,-134.4,449.28,314.88,low,low,300,-300,2,-300,449.28,59,-30.28,30.28,low - low,-30.924117974673,30.924117974673,30.28,30.924117974673
S33,48,2,64,20,131.86,111.73,-20.13,131.86,111.73,high,low,300,-300,2,-300,131.86,174,42.14,42.14,high - low,43.3745767196541,43.3745767196541,-42.14,-43.3745767196541
S33,48,2,65,135,0.750000000000106,-133.74,-134.49,360.75,226.26,high,high,300,-300,2,-300,360.75,348,-12.75,12.75,high - high,-13.394117974673,13.394117974673,12.75,13.394117974673
S33,48,2,66,45,131.07,87.61,-43.46,87.61,131.07,high,high,-300,300,2,300,131.07,145,13.9300000000001,13.9300000000001,high - high,13.7764305846302,13.7764305846302,-13.9300000000001,-13.7764305846302
S33,48,2,67,20,-141.05,-121.06,19.99,238.94,218.95,high,high,-300,300,2,300,218.95,177,-41.95,41.95,high - high,-40.7154232803459,40.7154232803459,-41.95,-40.7154232803459
S33,48,2,68,45,-46.3800000000001,-92.17,-45.79,267.83,313.62,high,high,-300,300,2,300,313.62,-31,15.38,15.38,high - high,15.2264305846302,15.2264305846302,-15.38,-15.2264305846302
S33,48,2,69,20,-41.96,-58.98,-17.02,318.04,301.02,low,high,300,-300,2,-300,318.04,-2,39.96,39.96,low - high,41.1945767196542,41.1945767196542,-39.96,-41.1945767196542
S33,48,2,70,20,143.4,123.1,-20.3,123.1,143.4,high,high,-300,300,2,300,143.4,147,3.60000000000002,3.60000000000002,high - high,4.83457671965417,4.83457671965417,-3.60000000000002,-4.83457671965417
S33,48,2,71,45,13.9400000000001,-31.87,-45.8100000000001,328.13,373.94,low,high,-300,300,2,300,373.94,-25,-38.94,38.94,low - high,-39.0935694153698,39.0935694153698,38.94,39.0935694153698
S33,48,2,72,45,-45.1399999999999,-92.24,-47.1,314.86,267.76,high,high,300,-300,2,-300,314.86,2,47.14,47.14,high - high,46.9864305846302,46.9864305846302,-47.14,-46.9864305846302
S33,48,2,73,20,94.45,71.73,-22.72,94.45,71.73,low,high,300,-300,2,-300,94.45,118,23.55,23.55,low - high,24.7845767196541,24.7845767196541,-23.55,-24.7845767196541
S33,48,2,74,20,86.95,64.9,-22.05,64.9,86.95,low,high,-300,300,2,300,86.95,70,-16.95,16.95,low - high,-15.7154232803459,15.7154232803459,16.95,15.7154232803459
S33,48,2,75,20,-0.240000000000011,20.44,20.68,-0.239999999999998,20.44,high,high,300,-300,2,-300,-0.239999999999998,0,0.240000000000009,0.240000000000009,high - high,1.47457671965415,1.47457671965415,0.240000000000009,1.47457671965415
S33,48,2,76,20,9.97999999999999,31.2,21.22,31.2,9.98,low,low,-300,300,2,300,9.98,-1,-10.98,10.98,low - low,-9.74542328034589,9.74542328034589,-10.98,-9.74542328034589
S33,48,2,77,45,86.47,128.5,42.03,128.5,86.47,low,low,-300,300,2,300,86.47,23,-63.47,63.47,low - low,-63.6235694153699,63.6235694153699,-63.47,-63.6235694153699
S33,48,2,78,45,-43.71,1.57,45.28,1.57,-43.71,low,low,-300,300,2,300,-43.71,315,-1.28999999999996,1.28999999999996,low - low,-1.44356941536978,1.44356941536978,-1.28999999999996,-1.44356941536978
S33,48,2,79,20,-147.94,-166.82,-18.88,212.06,193.18,high,low,300,-300,2,-300,212.06,174,-38.06,38.06,high - low,-36.8254232803459,36.8254232803459,38.06,36.8254232803459
S33,48,2,80,135,-17.73,-152.28,-134.55,207.72,342.27,high,low,-300,300,2,300,342.27,333,-9.26999999999998,9.26999999999998,high - low,-9.91411797467303,9.91411797467303,9.26999999999998,9.91411797467303
S33,48,2,81,45,2.8,50.2,47.4,50.2,2.8,high,high,-300,300,2,300,2.8,-10,-12.8,12.8,high - high,-12.9535694153698,12.9535694153698,-12.8,-12.9535694153698
S33,48,2,82,20,135.11,116.78,-18.33,116.78,135.11,high,high,-300,300,2,300,135.11,127,-8.11000000000001,8.11000000000001,high - high,-6.87542328034587,6.87542328034587,8.11000000000001,6.87542328034587
S33,48,2,83,20,-64.7,-47.25,17.45,312.75,295.3,low,low,-300,300,2,300,295.3,-27,37.7,37.7,low - low,38.9345767196541,38.9345767196541,37.7,38.9345767196541
S33,48,2,84,45,-45.05,-91.38,-46.33,314.95,268.62,high,low,300,-300,2,-300,314.95,341,26.05,26.05,high - low,25.8964305846301,25.8964305846301,-26.05,-25.8964305846301
S33,48,2,85,135,170.15,37.2,-132.95,37.2,170.15,high,low,-300,300,2,300,170.15,128,-42.15,42.15,high - low,-42.794117974673,42.794117974673,42.15,42.794117974673
S33,48,2,86,135,10.37,143.11,132.74,10.37,143.11,high,high,300,-300,2,-300,10.37,52,41.63,41.63,high - high,40.985882025327,40.985882025327,41.63,40.985882025327
S33,48,2,87,135,-107.66,120.1,-132.24,120.1,252.34,low,high,-300,300,2,300,252.34,208,-44.34,44.34,low - high,-44.9841179746731,44.9841179746731,44.34,44.9841179746731
S33,48,2,88,135,147.48,-76.7900000000001,135.73,283.21,147.48,low,low,-300,300,2,300,147.48,167,19.52,19.52,low - low,18.8758820253269,18.8758820253269,19.52,18.8758820253269
S33,48,2,89,45,146,-171.06,42.94,146,188.94,low,low,300,-300,2,-300,146,136,-10,10,low - low,-10.1535694153698,10.1535694153698,-10,-10.1535694153698
S33,48,2,90,20,8.04000000000001,28.06,20.02,8.04,28.06,low,low,300,-300,2,-300,8.04,359,-9.03999999999996,9.03999999999996,low - low,-7.80542328034584,7.80542328034584,-9.03999999999996,-7.80542328034584
S33,48,2,91,135,62.56,-72.89,-135.45,422.56,287.11,high,low,300,-300,2,-300,422.56,51,-11.56,11.56,high - low,-12.204117974673,12.204117974673,11.56,12.204117974673
S33,48,2,92,45,0.720000000000006,46.62,45.9,0.719999999999999,46.62,high,high,300,-300,2,-300,0.719999999999999,355,-5.72000000000003,5.72000000000003,high - high,-5.87356941536984,5.87356941536984,-5.72000000000003,-5.87356941536984
S33,48,2,93,135,115.04,-18.93,-133.97,341.07,475.04,high,low,-300,300,2,300,475.04,101,-14.04,14.04,high - low,-14.684117974673,14.684117974673,14.04,14.684117974673
S33,48,2,94,135,-1.15999999999993,-137.7,-136.54,358.84,222.3,low,high,300,-300,2,-300,358.84,-14,-12.84,12.84,low - high,-13.4841179746731,13.4841179746731,12.84,13.4841179746731
S33,48,2,95,20,102.91,123.28,20.37,123.28,102.91,high,low,-300,300,2,300,102.91,53,-49.91,49.91,high - low,-48.6754232803459,48.6754232803459,-49.91,-48.6754232803459
S33,48,2,96,135,-18.7,115.88,134.58,-18.7,115.88,high,low,300,-300,2,-300,-18.7,-5,13.7,13.7,high - low,13.055882025327,13.055882025327,13.7,13.055882025327
S33,48,2,97,45,-165.71,147.58,-46.71,147.58,194.29,high,high,-300,300,2,300,194.29,167,-27.29,27.29,high - high,-27.4435694153698,27.4435694153698,27.29,27.4435694153698
S33,48,2,98,135,43.4800000000001,-94.18,-137.66,265.82,403.48,high,high,-300,300,2,300,403.48,79,35.52,35.52,high - high,34.8758820253269,34.8758820253269,-35.52,-34.8758820253269
S33,48,2,99,20,-133.12,-113.1,20.02,226.88,246.9,low,low,300,-300,2,-300,226.88,-137,-3.88,3.88,low - low,-2.64542328034585,2.64542328034585,-3.88,-2.64542328034585
S33,48,2,100,135,24.39,161.97,137.58,161.97,24.39,high,low,-300,300,2,300,24.39,-2,-26.39,26.39,high - low,-27.034117974673,27.034117974673,-26.39,-27.034117974673
