participant,trial_counter,condition,target_to_competitor,decoy_reduction,decoy_on,chosen_item,correct,rt
25,151,numeric,0.1,0.05,competitor,target,1,1.45
25,152,numeric,0.1,0.2,competitor,competitor,0,0.003
25,153,numeric,0.03,0.2,target,decoy,0,0.202
25,154,numeric,0.03,0.2,competitor,target,1,1.807
25,155,perceptual,0.03,0.05,competitor,decoy,0,1.363
25,156,perceptual,0.03,0.2,competitor,target,1,1.582
25,157,numeric,0.03,0.05,competitor,target,1,1.378
25,158,numeric,0.03,0.2,competitor,target,1,1.34
25,159,numeric,0.03,0.2,competitor,decoy,0,1.361
25,160,numeric,0.03,0.05,target,decoy,0,1.847
25,161,perceptual,0.1,0.05,target,competitor,0,1.689
25,162,numeric,0.03,0.2,target,competitor,0,1.681
25,163,numeric,0.1,0.05,competitor,target,1,5.279
25,164,numeric,0.1,0.2,target,target,1,6.675
25,165,numeric,0.1,0.2,target,competitor,0,2.859
25,166,numeric,0.03,0.2,target,target,1,4.921
25,167,perceptual,0.03,0.05,target,decoy,0,2.154
25,168,perceptual,0.1,0.2,competitor,target,1,1.645
25,169,numeric,0.1,0.05,competitor,target,1,5.105
25,170,numeric,0.1,0.2,target,competitor,0,3.983
25,171,numeric,0.1,0.2,competitor,target,1,4.534
25,172,numeric,0.1,0.2,competitor,target,1,7.01
25,173,numeric,0.03,0.05,competitor,target,1,3.325
25,174,perceptual,0.1,0.2,competitor,target,1,3.968
25,175,perceptual,0.1,0.2,competitor,decoy,0,2.218
25,176,numeric,0.1,0.2,competitor,competitor,0,5.743
25,177,perceptual,0.1,0.2,target,competitor,0,2.416
25,178,numeric,0.03,0.2,competitor,target,1,3.629
25,179,numeric,0.1,0.2,competitor,competitor,0,3.99
25,180,numeric,0.1,0.2,competitor,decoy,0,2.947
25,181,numeric,0.1,0.05,target,target,1,2.184
25,182,perceptual,0.1,0.05,target,competitor,0,1.983
25,183,perceptual,0.1,0.2,target,competitor,0,2.415
25,184,perceptual,0.03,0.2,competitor,decoy,0,1.633
25,185,perceptual,0.1,0.05,competitor,target,1,1.802
25,186,numeric,0.1,0.05,target,target,1,1.701
25,187,perceptual,0.1,0.05,target,decoy,0,1.706
25,188,numeric,0.03,0.2,competitor,target,1,3.69
25,189,numeric,0.1,0.05,target,target,1,4.978
25,190,perceptual,0.03,0.2,competitor,competitor,0,2.135
25,191,perceptual,0.03,0.2,target,competitor,0,1.673
25,192,numeric,0.1,0.2,target,target,1,6.17
26,2,numeric,0.03,0.05,competitor,target,1,12.841
26,3,numeric,0.03,0.2,target,competitor,0,8.083
26,4,perceptual,0.1,0.2,competitor,target,1,6.05
26,5,numeric,0.03,0.2,competitor,competitor,0,15.889
26,6,numeric,0.1,0.05,competitor,competitor,0,7.916
26,7,perceptual,0.1,0.05,target,target,1,7.436
26,8,perceptual,0.03,0.05,target,target,1,5.324
26,9,perceptual,0.1,0.05,target,target,1,5.961
26,10,numeric,0.03,0.05,competitor,target,1,9.028
26,11,numeric,0.03,0.05,competitor,competitor,0,7.228
26,12,numeric,0.1,0.05,target,target,1,5.393
26,13,perceptual,0.1,0.2,competitor,decoy,0,6.308
26,14,numeric,0.03,0.05,target,target,1,8.668
26,15,numeric,0.03,0.05,competitor,target,1,9.046
26,16,numeric,0.1,0.05,competitor,target,1,9.732
26,17,perceptual,0.03,0.2,competitor,competitor,0,8.564
26,18,numeric,0.1,0.05,competitor,target,1,7.239
26,19,numeric,0.1,0.2,competitor,competitor,0,8.412
26,20,perceptual,0.03,0.05,target,decoy,0,6.012
26,21,perceptual,0.1,0.05,competitor,decoy,0,3.91
26,22,perceptual,0.1,0.05,competitor,target,1,3.161
26,23,numeric,0.1,0.05,target,target,1,5.802
26,24,perceptual,0.1,0.2,target,decoy,0,6.904
26,25,numeric,0.03,0.2,competitor,target,1,7.637
26,26,perceptual,0.1,0.2,target,decoy,0,8.278
26,27,numeric,0.03,0.05,target,target,1,7.063
26,28,perceptual,0.1,0.2,target,competitor,0,4.698
26,29,perceptual,0.03,0.2,competitor,competitor,0,7.272
26,30,perceptual,0.1,0.05,target,competitor,0,6.017
26,31,numeric,0.03,0.2,target,target,1,10.713
26,32,perceptual,0.1,0.2,competitor,competitor,0,6.11
26,33,perceptual,0.03,0.05,competitor,target,1,4.474
26,34,perceptual,0.03,0.05,competitor,decoy,0,5.58
26,35,numeric,0.1,0.05,competitor,competitor,0,4.662
26,36,numeric,0.03,0.2,competitor,competitor,0,8.631
26,37,perceptual,0.03,0.2,target,decoy,0,7.969
26,38,numeric,0.03,0.2,target,decoy,0,7.262
